Title,Description,Keywords,Input.id_1,Input.id_2,Input.sample_number_of_best_expl,Input.question,Input.answer_choices,Input.gold_label,Input.which_gold,Input.explanation_1,Input.explanation_2,Answer.ee,Answer.equalbad,Answer.equalgood,Answer.feedback,Answer.q1_valid,Answer.similar,Approve,Reject
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",3fe45ab3bd4a844ea290050fc0ece8c1_1,3fe45ab3bd4a844ea290050fc0ece8c1_1,greedy,At a shop what can you buy to put your spare unused things?,"cardboard box, high school, container, ocean floor, or basement",container,0,"Container can hold the spare unused things and it can be bought from market. Basement or ocean floor, or high schhol cannot be bought from a shop. Cardboard box is not efficient to hold all the spare unused things.",A container is a thing that can hold other things. A cardboard box is a type of container.,146.73,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",3fe45ab3bd4a844ea290050fc0ece8c1_1,3fe45ab3bd4a844ea290050fc0ece8c1_1,greedy,At a shop what can you buy to put your spare unused things?,"cardboard box, high school, container, ocean floor, or basement",container,0,"Container can hold the spare unused things and it can be bought from market. Basement or ocean floor, or high schhol cannot be bought from a shop. Cardboard box is not efficient to hold all the spare unused things.",A container is a thing that can hold other things. A cardboard box is a type of container.,11.252,,,{},2,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",a7e3de0719fe30e7048f67426e29fdd1,a7e3de0719fe30e7048f67426e29fdd1,greedy,James tore the antenna off of his boat due to bad reception as he was crossing the channel from France.  Where was he going?,"england, river, television, europe, or india",england,1,"The channel is a body of water that separates England from France, and so it's likely that James was crossing the channel from France to England.","England is a country unlike river, televisio and Europe. One can go to England. One can also cross the channel from France to England but not to India.",9.189,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",a7e3de0719fe30e7048f67426e29fdd1,a7e3de0719fe30e7048f67426e29fdd1,greedy,James tore the antenna off of his boat due to bad reception as he was crossing the channel from France.  Where was he going?,"england, river, television, europe, or india",england,1,"The channel is a body of water that separates England from France, and so it's likely that James was crossing the channel from France to England.","England is a country unlike river, televisio and Europe. One can go to England. One can also cross the channel from France to England but not to India.",142.887,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",a7e3de0719fe30e7048f67426e29fdd1,a7e3de0719fe30e7048f67426e29fdd1,greedy,James tore the antenna off of his boat due to bad reception as he was crossing the channel from France.  Where was he going?,"england, river, television, europe, or india",england,1,"The channel is a body of water that separates England from France, and so it's likely that James was crossing the channel from France to England.","England is a country unlike river, televisio and Europe. One can go to England. One can also cross the channel from France to England but not to India.",31.893,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",6bc3ebcfd04965c25bde71339955746c,6bc3ebcfd04965c25bde71339955746c,3,What is the purpose of playing games for children?,"fatigue, winning, losing, learning, or skill",learning,0,"When childten are given games, they have various thing that they can learn by doing hence learning is the main purpose. All the other options are incorrect because they are not a puprose of making children play games.",Children learn from games.,5.845,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",6bc3ebcfd04965c25bde71339955746c,6bc3ebcfd04965c25bde71339955746c,3,What is the purpose of playing games for children?,"fatigue, winning, losing, learning, or skill",learning,0,"When childten are given games, they have various thing that they can learn by doing hence learning is the main purpose. All the other options are incorrect because they are not a puprose of making children play games.",Children learn from games.,56.082,on,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",6bc3ebcfd04965c25bde71339955746c,6bc3ebcfd04965c25bde71339955746c,3,What is the purpose of playing games for children?,"fatigue, winning, losing, learning, or skill",learning,0,"When childten are given games, they have various thing that they can learn by doing hence learning is the main purpose. All the other options are incorrect because they are not a puprose of making children play games.",Children learn from games.,130.288,,,{},2,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",60e92cd2f35c345872d1a898e1718d55,60e92cd2f35c345872d1a898e1718d55,greedy,"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?","walk, stink, stay still, hands, or michigan",walk,0,"Walking only reuiqres two feet and mostly every person have two feets and Person generally walks when don't have car.Michigan is not an activity that person can do.
             Person doesn't Stay still when he doesn't have car.Stink is not an action that person can do.Hands is part of body not an action person can do.",Walking is a way to get around without a car.,5.085,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",60e92cd2f35c345872d1a898e1718d55,60e92cd2f35c345872d1a898e1718d55,greedy,"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?","walk, stink, stay still, hands, or michigan",walk,0,"Walking only reuiqres two feet and mostly every person have two feets and Person generally walks when don't have car.Michigan is not an activity that person can do.
             Person doesn't Stay still when he doesn't have car.Stink is not an action that person can do.Hands is part of body not an action person can do.",Walking is a way to get around without a car.,26.895,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",60e92cd2f35c345872d1a898e1718d55,60e92cd2f35c345872d1a898e1718d55,greedy,"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?","walk, stink, stay still, hands, or michigan",walk,0,"Walking only reuiqres two feet and mostly every person have two feets and Person generally walks when don't have car.Michigan is not an activity that person can do.
             Person doesn't Stay still when he doesn't have car.Stink is not an action that person can do.Hands is part of body not an action person can do.",Walking is a way to get around without a car.,53.952,,,{},2,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",f13efb91090dd28fd2b3c1f4dde680fd,f13efb91090dd28fd2b3c1f4dde680fd,3,Sage loved communicating  He liked doing what with his peers?,"response, learning, peer pressure, confusion, or exchanging ideas",exchanging ideas,1,"When you converse with friends and peers, you exchange ideas and share your concepts and beliefs as well as critique those of others.","Sage loved communicating by exchanging ideas. To communicate means to share or exchange one’s ideas, information or feelings. There was no confusion when he communicated himself to his peers. Sage can’t put peer pressure on his peers as peer pressure is the pressure put on an individual by few peers. He communicated by more than just giving a basic response. Sage can be bad at learning even if he loves communicating.",35.405,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",f13efb91090dd28fd2b3c1f4dde680fd,f13efb91090dd28fd2b3c1f4dde680fd,3,Sage loved communicating  He liked doing what with his peers?,"response, learning, peer pressure, confusion, or exchanging ideas",exchanging ideas,1,"When you converse with friends and peers, you exchange ideas and share your concepts and beliefs as well as critique those of others.","Sage loved communicating by exchanging ideas. To communicate means to share or exchange one’s ideas, information or feelings. There was no confusion when he communicated himself to his peers. Sage can’t put peer pressure on his peers as peer pressure is the pressure put on an individual by few peers. He communicated by more than just giving a basic response. Sage can be bad at learning even if he loves communicating.",9.631,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",f13efb91090dd28fd2b3c1f4dde680fd,f13efb91090dd28fd2b3c1f4dde680fd,3,Sage loved communicating  He liked doing what with his peers?,"response, learning, peer pressure, confusion, or exchanging ideas",exchanging ideas,1,"When you converse with friends and peers, you exchange ideas and share your concepts and beliefs as well as critique those of others.","Sage loved communicating by exchanging ideas. To communicate means to share or exchange one’s ideas, information or feelings. There was no confusion when he communicated himself to his peers. Sage can’t put peer pressure on his peers as peer pressure is the pressure put on an individual by few peers. He communicated by more than just giving a basic response. Sage can be bad at learning even if he loves communicating.",126.976,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",29c194d032a266a7160bff6f546a4d9d,29c194d032a266a7160bff6f546a4d9d,greedy,Where is one likely to find poker chips?,"bar, motherboard, supermarket, pantry, or bar",bar,1,"Poker chips are used in poker, which is a game played in bars.",Poker is played in a bar and not in a pantry. Bar is a place of entertainment unlike supermarket and motherboard.,12.272,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",29c194d032a266a7160bff6f546a4d9d,29c194d032a266a7160bff6f546a4d9d,greedy,Where is one likely to find poker chips?,"bar, motherboard, supermarket, pantry, or bar",bar,1,"Poker chips are used in poker, which is a game played in bars.",Poker is played in a bar and not in a pantry. Bar is a place of entertainment unlike supermarket and motherboard.,13.216,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",29c194d032a266a7160bff6f546a4d9d,29c194d032a266a7160bff6f546a4d9d,greedy,Where is one likely to find poker chips?,"bar, motherboard, supermarket, pantry, or bar",bar,1,"Poker chips are used in poker, which is a game played in bars.",Poker is played in a bar and not in a pantry. Bar is a place of entertainment unlike supermarket and motherboard.,140.352,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",95a85df48902d23eb3fda25a99fca1a0,95a85df48902d23eb3fda25a99fca1a0,greedy,What is it called when two people in love have children?,"live life, please parents, take oath, procreate, or matrimony",procreate,1,"Procreation is the act of creating new life, and is often done by people in love.","When two people are in love, they want children. The process of having children is called as procreation. All the other option are not applicable to the question as they do not led to havinf children.",4.067,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",95a85df48902d23eb3fda25a99fca1a0,95a85df48902d23eb3fda25a99fca1a0,greedy,What is it called when two people in love have children?,"live life, please parents, take oath, procreate, or matrimony",procreate,1,"Procreation is the act of creating new life, and is often done by people in love.","When two people are in love, they want children. The process of having children is called as procreation. All the other option are not applicable to the question as they do not led to havinf children.",141.192,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",95a85df48902d23eb3fda25a99fca1a0,95a85df48902d23eb3fda25a99fca1a0,greedy,What is it called when two people in love have children?,"live life, please parents, take oath, procreate, or matrimony",procreate,1,"Procreation is the act of creating new life, and is often done by people in love.","When two people are in love, they want children. The process of having children is called as procreation. All the other option are not applicable to the question as they do not led to havinf children.",15.716,,,{},2,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",96cb628fb7ed2f53245598f707ed2b80,96cb628fb7ed2f53245598f707ed2b80,greedy,John loved to paint houses.  How did he usually do it?,"with brush, clothes get stained, draw, electrical circuit, or wallpaper",with brush,0,A paint brush a thing that is used by John to paint houses as a brush has stroked through which painting can be done. All the other options are not correct as one cannot paint with them.,People usually paint houses with brushes.,0.713,,,{},2,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",96cb628fb7ed2f53245598f707ed2b80,96cb628fb7ed2f53245598f707ed2b80,greedy,John loved to paint houses.  How did he usually do it?,"with brush, clothes get stained, draw, electrical circuit, or wallpaper",with brush,0,A paint brush a thing that is used by John to paint houses as a brush has stroked through which painting can be done. All the other options are not correct as one cannot paint with them.,People usually paint houses with brushes.,22.003,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",96cb628fb7ed2f53245598f707ed2b80,96cb628fb7ed2f53245598f707ed2b80,greedy,John loved to paint houses.  How did he usually do it?,"with brush, clothes get stained, draw, electrical circuit, or wallpaper",with brush,0,A paint brush a thing that is used by John to paint houses as a brush has stroked through which painting can be done. All the other options are not correct as one cannot paint with them.,People usually paint houses with brushes.,19.822,,,{},2,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",fcd39cfa321728fea069a6ae4285b06f,fcd39cfa321728fea069a6ae4285b06f,greedy,In order to learn to program from another person you can do what?,"learn how to, knowledge, take class, have a friend, or have computer",take class,1,Classes are a way to learn from someone else.,You can take class to learn program from others. By having a friend or computer you cant learn program. learn how to doesnt fits here. Knowledge cant make you learn program.,5.31,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",fcd39cfa321728fea069a6ae4285b06f,fcd39cfa321728fea069a6ae4285b06f,greedy,In order to learn to program from another person you can do what?,"learn how to, knowledge, take class, have a friend, or have computer",take class,1,Classes are a way to learn from someone else.,You can take class to learn program from others. By having a friend or computer you cant learn program. learn how to doesnt fits here. Knowledge cant make you learn program.,29.95,on,,{},2,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",fcd39cfa321728fea069a6ae4285b06f,fcd39cfa321728fea069a6ae4285b06f,greedy,In order to learn to program from another person you can do what?,"learn how to, knowledge, take class, have a friend, or have computer",take class,1,Classes are a way to learn from someone else.,You can take class to learn program from others. By having a friend or computer you cant learn program. learn how to doesnt fits here. Knowledge cant make you learn program.,143.223,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",3d9c3253e24fb108cea9083e8a853cf2,3d9c3253e24fb108cea9083e8a853cf2,0,"Bill wanted to pick up a stranger, preferably a responsible one with kids.  Where might he look for one?","bus station, paradise, sea, park, or train station",park,1,"A park is often a good place for folks to get together, talk, eat, etc. For adults with children, it could even be an amenable place for dating (or hooking up).","At park, Bill might look for one responsible stranger with kids. Kids are at park with a stranger. Bill cant look at paradise for a stranger. He might not look at train station or bus station for stranger responsible with kids. In a sea, he cant look for a stranger.",6.117,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",3d9c3253e24fb108cea9083e8a853cf2,3d9c3253e24fb108cea9083e8a853cf2,0,"Bill wanted to pick up a stranger, preferably a responsible one with kids.  Where might he look for one?","bus station, paradise, sea, park, or train station",park,1,"A park is often a good place for folks to get together, talk, eat, etc. For adults with children, it could even be an amenable place for dating (or hooking up).","At park, Bill might look for one responsible stranger with kids. Kids are at park with a stranger. Bill cant look at paradise for a stranger. He might not look at train station or bus station for stranger responsible with kids. In a sea, he cant look for a stranger.",22.212,,,{},2,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",3d9c3253e24fb108cea9083e8a853cf2,3d9c3253e24fb108cea9083e8a853cf2,0,"Bill wanted to pick up a stranger, preferably a responsible one with kids.  Where might he look for one?","bus station, paradise, sea, park, or train station",park,1,"A park is often a good place for folks to get together, talk, eat, etc. For adults with children, it could even be an amenable place for dating (or hooking up).","At park, Bill might look for one responsible stranger with kids. Kids are at park with a stranger. Bill cant look at paradise for a stranger. He might not look at train station or bus station for stranger responsible with kids. In a sea, he cant look for a stranger.",60.972,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",985a4f1a3f31f1ba6654f4fc48f504df,985a4f1a3f31f1ba6654f4fc48f504df,0,To get clean clothes you to what to them?,"launder, writing, use water, get dirty, or soap",launder,0,One launders clothes which is a physical activity. Laundered clothes are clean while clothes that have gotten dirty are not clean. Laundering clothes is a process while using water and using soap on clothes is not a process.,"For clothes to be clean, one could wash or launder them.",7.246,,,{},2,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",985a4f1a3f31f1ba6654f4fc48f504df,985a4f1a3f31f1ba6654f4fc48f504df,0,To get clean clothes you to what to them?,"launder, writing, use water, get dirty, or soap",launder,0,One launders clothes which is a physical activity. Laundered clothes are clean while clothes that have gotten dirty are not clean. Laundering clothes is a process while using water and using soap on clothes is not a process.,"For clothes to be clean, one could wash or launder them.",129.578,,,{},2,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",985a4f1a3f31f1ba6654f4fc48f504df,985a4f1a3f31f1ba6654f4fc48f504df,0,To get clean clothes you to what to them?,"launder, writing, use water, get dirty, or soap",launder,0,One launders clothes which is a physical activity. Laundered clothes are clean while clothes that have gotten dirty are not clean. Laundering clothes is a process while using water and using soap on clothes is not a process.,"For clothes to be clean, one could wash or launder them.",3.021,,,{},2,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",af3b9a8b1962cd3bcd19e644d873e7bc,af3b9a8b1962cd3bcd19e644d873e7bc,0,"The hardcovers were especially tall, so he removed a shelf on the what to make room?","hold alcohol, grocery store, bookcase, nightstand, or chest of drawers",bookcase,0,Tall hardcover requires more space in bookcase. Bookcase contains shelves.  Hardcovers books are not kept in drawers. Grocery store dont contains hardcovers. Hold alcohol is not something that contains shelf. Nightstand dont contains shelf.,"People keep books on bookshelves, and bookcases are very commonly used to hold books. Since hardcover books can be pretty tall, it takes up extra vertical space which would require removal of an upper shelf of the bookcase.",5.839,,,{},2,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",af3b9a8b1962cd3bcd19e644d873e7bc,af3b9a8b1962cd3bcd19e644d873e7bc,0,"The hardcovers were especially tall, so he removed a shelf on the what to make room?","hold alcohol, grocery store, bookcase, nightstand, or chest of drawers",bookcase,0,Tall hardcover requires more space in bookcase. Bookcase contains shelves.  Hardcovers books are not kept in drawers. Grocery store dont contains hardcovers. Hold alcohol is not something that contains shelf. Nightstand dont contains shelf.,"People keep books on bookshelves, and bookcases are very commonly used to hold books. Since hardcover books can be pretty tall, it takes up extra vertical space which would require removal of an upper shelf of the bookcase.",159.791,,,{},2,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",af3b9a8b1962cd3bcd19e644d873e7bc,af3b9a8b1962cd3bcd19e644d873e7bc,0,"The hardcovers were especially tall, so he removed a shelf on the what to make room?","hold alcohol, grocery store, bookcase, nightstand, or chest of drawers",bookcase,0,Tall hardcover requires more space in bookcase. Bookcase contains shelves.  Hardcovers books are not kept in drawers. Grocery store dont contains hardcovers. Hold alcohol is not something that contains shelf. Nightstand dont contains shelf.,"People keep books on bookshelves, and bookcases are very commonly used to hold books. Since hardcover books can be pretty tall, it takes up extra vertical space which would require removal of an upper shelf of the bookcase.",131.693,,,{},2,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",273d0134e8ce53d4ebcf41ca7fde02af,273d0134e8ce53d4ebcf41ca7fde02af,1,Where could you find hundreds of thousands of home?,"neighborhood, field, apartment building, city or town, or star can",city or town,0,Too many neighbourhoods together form a city or town. City or town have hundreds of thousands of homes. While apartment building is smaller than neighbourhood which is yet smaller to city or town. Fields may have a single home or in many cases don’t.,There are so many homes in a city.,5.715,,,{},1,,,
"Given 2 explanations for a decision, select the best one.","This task will involve reading 2 explanations for the answer to a ""commonsense"" question and selecting the best one.","commonsense, explanations, AI, reading, interpretation",273d0134e8ce53d4ebcf41ca7fde02af,273d0134e8ce53d4ebcf41ca7fde02af,1,Where could you find hundreds of thousands of home?,"neighborhood, field, apartment building, city or town, or star can",city or town,0,Too many neighbourhoods together form a city or town. City or town have hundreds of thousands of homes. While apartment building is smaller than neighbourhood which is yet smaller to city or town. Fields may have a single home or in many cases don’t.,There are so many homes in a city.,10.561,,,{},1,,,
