Title,Description,Keywords,id,premise,hypothesis,gold_label,predicted_explanation,Answer.acceptable,Answer.ee,Answer.feedback
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_113_gold,A young boy is taking American flags to place them where they will remind others of the sacrifices made by veterans.,A young boy is honoring fallen veterans.,true,A boy is honoring fallen veterans and reminding others of the sacrifices they made by placing American flags.,1,11.403,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_113_gold,A young boy is taking American flags to place them where they will remind others of the sacrifices made by veterans.,A young boy is honoring fallen veterans.,true,A boy is honoring fallen veterans and reminding others of the sacrifices they made by placing American flags.,-1,24.009,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_52_gold,A girl climbing a chain link fence.,The girl falls from the fence.,false,A girl can't be climbing and falling at the same time.,1,17.53,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_52_gold,A girl climbing a chain link fence.,The girl falls from the fence.,false,A girl can't be climbing and falling at the same time.,1,18.65,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_52_gold,A girl climbing a chain link fence.,The girl falls from the fence.,false,A girl can't be climbing and falling at the same time.,1,6.151,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_123_gold,A bike is parked against a window to a store called Winter Sport where inside some people sit next to a computer and an older woman stands in the background.,"There is a computer with people seated nearby and a woman standing nearby them inside Winter Sport, which is a store with a bike next to it.",true,"If the bike is parked against the store, the bike is next to the store.",1,27.684,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_123_gold,A bike is parked against a window to a store called Winter Sport where inside some people sit next to a computer and an older woman stands in the background.,"There is a computer with people seated nearby and a woman standing nearby them inside Winter Sport, which is a store with a bike next to it.",true,"If the bike is parked against the store, the bike is next to the store.",1,32.389,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_123_gold,A bike is parked against a window to a store called Winter Sport where inside some people sit next to a computer and an older woman stands in the background.,"There is a computer with people seated nearby and a woman standing nearby them inside Winter Sport, which is a store with a bike next to it.",true,"If the bike is parked against the store, the bike is next to the store.",1,33.72,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_207_gold,A short-haired man is jumping while on top of a huge boulder.,The man is jumping to another boulder.,neither,A man jumping on a boulder is not assumed to be jumping to another boulder.,1,10.399,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_207_gold,A short-haired man is jumping while on top of a huge boulder.,The man is jumping to another boulder.,neither,A man jumping on a boulder is not assumed to be jumping to another boulder.,1,1.432,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_207_gold,A short-haired man is jumping while on top of a huge boulder.,The man is jumping to another boulder.,neither,A man jumping on a boulder is not assumed to be jumping to another boulder.,1,11.742,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_243_gold,"A boy in an orange 'Spring Hill' ball team uniform, pitching the ball.",A boy pitches the ball.,true,pitching is just the present tense of pitches,1,4.494,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_243_gold,"A boy in an orange 'Spring Hill' ball team uniform, pitching the ball.",A boy pitches the ball.,true,pitching is just the present tense of pitches,-1,21.577,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_243_gold,"A boy in an orange 'Spring Hill' ball team uniform, pitching the ball.",A boy pitches the ball.,true,pitching is just the present tense of pitches,1,22.864,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_145_gold,A man in a red shirt is sitting on top of a rocky mountain.,A man sitting on top of a mountain.,true,"If a man in a red shirt is sitting on top of a rocky mountain, then a man is sitting on top of a mountain.",1,3.209,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_145_gold,A man in a red shirt is sitting on top of a rocky mountain.,A man sitting on top of a mountain.,true,"If a man in a red shirt is sitting on top of a rocky mountain, then a man is sitting on top of a mountain.",1,44.581,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_145_gold,A man in a red shirt is sitting on top of a rocky mountain.,A man sitting on top of a mountain.,true,"If a man in a red shirt is sitting on top of a rocky mountain, then a man is sitting on top of a mountain.",-1,135.649,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_26_gold,"An elderly man with glasses, a red ball cap and backpack is standing in front of an open doorway.",the man is a farmer,neither,No way to know that the man is a farmer.,1,7.489,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_26_gold,"An elderly man with glasses, a red ball cap and backpack is standing in front of an open doorway.",the man is a farmer,neither,No way to know that the man is a farmer.,1,7.991,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_26_gold,"An elderly man with glasses, a red ball cap and backpack is standing in front of an open doorway.",the man is a farmer,neither,No way to know that the man is a farmer.,1,23.96,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_98_gold,A brown dog persues a Frisbee across the grass as the thrower watches.,A dog plays in the park.,true,A dog that pursues a frisbee on the grass is playing on a park.,1,4.881,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_98_gold,A brown dog persues a Frisbee across the grass as the thrower watches.,A dog plays in the park.,true,A dog that pursues a frisbee on the grass is playing on a park.,1,128.457,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_98_gold,A brown dog persues a Frisbee across the grass as the thrower watches.,A dog plays in the park.,true,A dog that pursues a frisbee on the grass is playing on a park.,1,24.968,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_38_gold,Workers are scattered among the scaffolding on an older building.,Some workers are digging at a construction site.,false,Workers cannot be scattered among scaffolding on an older building while digging at a construction site simultaneously.,1,2.72,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_38_gold,Workers are scattered among the scaffolding on an older building.,Some workers are digging at a construction site.,false,Workers cannot be scattered among scaffolding on an older building while digging at a construction site simultaneously.,1,16.881,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_38_gold,Workers are scattered among the scaffolding on an older building.,Some workers are digging at a construction site.,false,Workers cannot be scattered among scaffolding on an older building while digging at a construction site simultaneously.,1,27.538,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_29_gold,Three young girls in winter clothing and hats look at disposable cameras they are holding.,The temperature is a scalding 100 degrees fahrenheit.,false,Girls would not wear winter clothing if ti was 100 degrees,1,15.502,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_29_gold,Three young girls in winter clothing and hats look at disposable cameras they are holding.,The temperature is a scalding 100 degrees fahrenheit.,false,Girls would not wear winter clothing if ti was 100 degrees,1,26.586,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_29_gold,Three young girls in winter clothing and hats look at disposable cameras they are holding.,The temperature is a scalding 100 degrees fahrenheit.,false,Girls would not wear winter clothing if ti was 100 degrees,1,26.579,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_18_gold,A tattooed woman clicking on a mouse on a desk.,A tattooed man clicking on a mouse on a desk.,false,There can either be a  tattooed woman or a tattooed man.,1,9.058,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_18_gold,A tattooed woman clicking on a mouse on a desk.,A tattooed man clicking on a mouse on a desk.,false,There can either be a  tattooed woman or a tattooed man.,-1,16.43,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_18_gold,A tattooed woman clicking on a mouse on a desk.,A tattooed man clicking on a mouse on a desk.,false,There can either be a  tattooed woman or a tattooed man.,1,5.648,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_17_gold,many children play in the water.,The children are playing mini golf.,false,Mini golf is not played in the water.,1,15.148,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_17_gold,many children play in the water.,The children are playing mini golf.,false,Mini golf is not played in the water.,1,30.463,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_17_gold,many children play in the water.,The children are playing mini golf.,false,Mini golf is not played in the water.,1,7.433,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_132_gold,A brown dog sniffing at the fence of a brown bull.,The brown dog was looking intently at the bull on the other side.,neither,Just because the dog is sniffing at the fence does not mean it is looking at the bull.,1,2.758,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_132_gold,A brown dog sniffing at the fence of a brown bull.,The brown dog was looking intently at the bull on the other side.,neither,Just because the dog is sniffing at the fence does not mean it is looking at the bull.,1,127.062,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_132_gold,A brown dog sniffing at the fence of a brown bull.,The brown dog was looking intently at the bull on the other side.,neither,Just because the dog is sniffing at the fence does not mean it is looking at the bull.,1,27.306,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_168_gold,People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall.,People are riding on the escalator.,true,People are riding the escalator looking outside.,1,1.742,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_168_gold,People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall.,People are riding on the escalator.,true,People are riding the escalator looking outside.,1,119.291,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_168_gold,People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall.,People are riding on the escalator.,true,People are riding the escalator looking outside.,1,21.416,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_155_gold,"A woman is seen from above applying red nail polish to her toes, as they rest on a leather seat.",The woman has red toenails.,true,The woman applying red nail polish to her toes while resting on a leather seat,1,9.96,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_155_gold,"A woman is seen from above applying red nail polish to her toes, as they rest on a leather seat.",The woman has red toenails.,true,The woman applying red nail polish to her toes while resting on a leather seat,-1,25.399,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_155_gold,"A woman is seen from above applying red nail polish to her toes, as they rest on a leather seat.",The woman has red toenails.,true,The woman applying red nail polish to her toes while resting on a leather seat,-1,29.066,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_179_gold,People waiting in line in a snowstorm.,People are waiting in a line during a scorching drought.,false,There cannot be a snowstorm during a scorching drought.,1,5.304,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_179_gold,People waiting in line in a snowstorm.,People are waiting in a line during a scorching drought.,false,There cannot be a snowstorm during a scorching drought.,1,128.086,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_179_gold,People waiting in line in a snowstorm.,People are waiting in a line during a scorching drought.,false,There cannot be a snowstorm during a scorching drought.,1,22.654,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_209_gold,A kid with his face painted is at the top of a concrete structure with asterisks carved inside.,His face is painted to look like a tiger.,neither,Just because a kid has his face painted it does not mean he looks like a tiger.,1,12.179,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_209_gold,A kid with his face painted is at the top of a concrete structure with asterisks carved inside.,His face is painted to look like a tiger.,neither,Just because a kid has his face painted it does not mean he looks like a tiger.,1,7.847,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_209_gold,A kid with his face painted is at the top of a concrete structure with asterisks carved inside.,His face is painted to look like a tiger.,neither,Just because a kid has his face painted it does not mean he looks like a tiger.,1,25.781,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_47_gold,A man and a child are laughing at each other.,A man is talking on the phone while his teenage son is asleep.,false,A person cannot be a child and a teenager simultaneously nor can a man be laughing and talking simultaneously.,1,5.805,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_47_gold,A man and a child are laughing at each other.,A man is talking on the phone while his teenage son is asleep.,false,A person cannot be a child and a teenager simultaneously nor can a man be laughing and talking simultaneously.,1,28.827,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_47_gold,A man and a child are laughing at each other.,A man is talking on the phone while his teenage son is asleep.,false,A person cannot be a child and a teenager simultaneously nor can a man be laughing and talking simultaneously.,1,29.324,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_77_gold,A passenger wearing a life jacket prepares to take a picture of a whale very close to the boat.,A man is using a camera.,true,"Man is a passenger, and prepares to take a picture is a rephrasing of is using a camera.",1,8.211,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_77_gold,A passenger wearing a life jacket prepares to take a picture of a whale very close to the boat.,A man is using a camera.,true,"Man is a passenger, and prepares to take a picture is a rephrasing of is using a camera.",1,9.311,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_77_gold,A passenger wearing a life jacket prepares to take a picture of a whale very close to the boat.,A man is using a camera.,true,"Man is a passenger, and prepares to take a picture is a rephrasing of is using a camera.",1,28.153,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_127_gold,A child plays with her father's boots.,A child is playing with her mothers' shoe.,false,the child can not be playing with her mothers' shoe if she was playing with her father's boots in sentence one,1,14.246,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_127_gold,A child plays with her father's boots.,A child is playing with her mothers' shoe.,false,the child can not be playing with her mothers' shoe if she was playing with her father's boots in sentence one,1,3.745,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_127_gold,A child plays with her father's boots.,A child is playing with her mothers' shoe.,false,the child can not be playing with her mothers' shoe if she was playing with her father's boots in sentence one,-1,26.264,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_242_gold,Three friends are talking.,Three people have drinks in their hand.,neither,"People can talk without having drinks, too.",1,8.18,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_242_gold,Three friends are talking.,Three people have drinks in their hand.,neither,"People can talk without having drinks, too.",1,2.711,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_242_gold,Three friends are talking.,Three people have drinks in their hand.,neither,"People can talk without having drinks, too.",1,27.491,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_249_gold,A scruffy man is standing in front of a red shopping cart filled with boxes.,A man by a full shopping cart.,true,If a man has a cart filled with boxes it infers the shopping cart is full.,1,23.373,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_249_gold,A scruffy man is standing in front of a red shopping cart filled with boxes.,A man by a full shopping cart.,true,If a man has a cart filled with boxes it infers the shopping cart is full.,1,26.991,{}
